customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
23,male,60+,south,electronics,online,zepto,4,"amazing experience, highly recommend!",positive,59,no,no
24,other,26-35,north,travel,online,meesho,2,customer service was unhelpful.,negative,8,yes,yes
25,other,36-45,east,beauty,online,nykaa,2,very disappointed with the quality.,negative,12,yes,yes
26,female,26-35,central,electronics,online,snapdeal,5,"amazing experience, highly recommend!",positive,61,no,no
27,female,18-25,west,beauty,online,croma,3,average experience overall.,neutral,44,yes,no
28,other,46-60,north,groceries,online,amazon,1,product stopped working after few days.,negative,32,yes,yes
29,female,36-45,east,groceries,online,paytm mall,3,works fine but could be better.,neutral,52,no,no
30,female,36-45,north,sports,online,facebook marketplace,4,fast delivery and great packaging.,positive,57,no,no
31,female,36-45,north,home & kitchen,online,shopclues,4,great value for money.,positive,36,yes,no
32,male,46-60,west,travel,online,ajio,4,"amazing experience, highly recommend!",positive,68,no,no
33,male,60+,south,home & kitchen,online,paytm mall,4,fast delivery and great packaging.,positive,64,no,no
34,female,36-45,west,books,online,facebook marketplace,2,product stopped working after few days.,negative,26,yes,yes
35,other,18-25,north,books,online,snapdeal,3,works fine but could be better.,neutral,34,yes,no
36,male,26-35,north,groceries,online,meesho,3,neutral about the quality.,neutral,15,yes,no
37,other,36-45,west,fashion,online,ajio,5,"amazing experience, highly recommend!",positive,15,yes,no
38,other,18-25,south,travel,online,bigbasket,2,customer service was unhelpful.,negative,18,yes,yes
39,male,26-35,north,sports,online,ajio,2,not worth the price.,negative,2,yes,yes
40,female,26-35,west,home & kitchen,online,croma,2,product stopped working after few days.,negative,53,no,yes
41,male,60+,west,fashion,online,croma,2,not worth the price.,negative,9,yes,yes
42,other,36-45,central,groceries,online,ajio,4,"amazing experience, highly recommend!",positive,18,yes,no
43,other,60+,east,sports,online,reliance digital,3,works fine but could be better.,neutral,31,yes,no
44,female,36-45,east,beauty,online,lenskart,4,fast delivery and great packaging.,positive,24,yes,no
45,male,36-45,west,electronics,online,tata cliq,1,not worth the price.,negative,57,no,yes
46,other,60+,west,books,online,bigbasket,4,excellent product! exceeded expectations.,positive,44,yes,no
47,female,46-60,west,home & kitchen,online,bigbasket,5,excellent product! exceeded expectations.,positive,6,yes,no
48,other,26-35,south,fashion,online,myntra,5,"amazing experience, highly recommend!",positive,32,yes,no
49,other,26-35,central,automobile,online,paytm mall,3,average experience overall.,neutral,53,no,no
50,other,46-60,west,automobile,online,bigbasket,4,fast delivery and great packaging.,positive,16,yes,no
51,other,18-25,central,books,online,reliance digital,4,"amazing experience, highly recommend!",positive,9,yes,no
52,male,18-25,east,electronics,online,shopclues,2,product stopped working after few days.,negative,35,yes,yes
53,female,18-25,east,groceries,online,croma,2,late delivery and poor packaging.,negative,34,yes,yes
54,female,46-60,central,home & kitchen,online,flipkart,5,fast delivery and great packaging.,positive,32,yes,no
55,female,36-45,west,sports,online,reliance digital,5,excellent product! exceeded expectations.,positive,45,yes,no
56,male,18-25,west,travel,online,zepto,5,"amazing experience, highly recommend!",positive,47,yes,no
57,female,46-60,central,fashion,online,nykaa,5,very satisfied with the quality.,positive,25,yes,no
58,male,46-60,south,sports,online,reliance digital,3,"product is okay, nothing special.",neutral,29,yes,no
59,other,46-60,north,groceries,online,paytm mall,2,product stopped working after few days.,negative,61,no,yes
60,other,18-25,north,beauty,online,jiomart,5,excellent product! exceeded expectations.,positive,58,no,no
61,other,60+,east,travel,online,nykaa,3,"product is okay, nothing special.",neutral,13,yes,no
62,other,18-25,central,automobile,online,lenskart,5,"amazing experience, highly recommend!",positive,17,yes,no
63,female,36-45,central,electronics,online,snapdeal,4,great value for money.,positive,42,yes,no
64,other,36-45,north,groceries,online,paytm mall,4,fast delivery and great packaging.,positive,36,yes,no
65,female,26-35,north,automobile,online,paytm mall,4,excellent product! exceeded expectations.,positive,45,yes,no
66,male,26-35,west,electronics,online,snapdeal,5,fast delivery and great packaging.,positive,57,no,no
67,other,18-25,south,beauty,online,others,1,customer service was unhelpful.,negative,26,yes,yes
68,female,36-45,east,beauty,online,ajio,1,product stopped working after few days.,negative,20,yes,yes
69,male,46-60,north,electronics,online,lenskart,2,late delivery and poor packaging.,negative,1,yes,yes
70,female,26-35,north,travel,online,swiggy instamart,2,not worth the price.,negative,17,yes,yes
71,other,36-45,east,groceries,online,facebook marketplace,3,works fine but could be better.,neutral,69,no,no
72,male,60+,west,home & kitchen,online,jiomart,1,late delivery and poor packaging.,negative,41,yes,yes
73,female,26-35,central,electronics,online,myntra,3,works fine but could be better.,neutral,63,no,no
74,male,26-35,east,electronics,online,paytm mall,1,not worth the price.,negative,39,yes,yes
75,other,18-25,west,fashion,online,swiggy instamart,4,great value for money.,positive,67,no,no
76,female,36-45,central,automobile,online,swiggy instamart,4,"amazing experience, highly recommend!",positive,68,no,no
77,male,26-35,east,home & kitchen,online,snapdeal,5,very satisfied with the quality.,positive,24,yes,no
78,male,60+,south,beauty,online,myntra,2,customer service was unhelpful.,negative,58,no,yes
79,female,26-35,central,sports,online,lenskart,1,very disappointed with the quality.,negative,9,yes,yes
80,other,46-60,north,groceries,online,shopclues,2,very disappointed with the quality.,negative,22,yes,yes
81,other,18-25,south,groceries,online,snapdeal,4,very satisfied with the quality.,positive,31,yes,no
82,female,26-35,north,beauty,online,ajio,3,"delivery was fine, product is decent.",neutral,11,yes,no
83,male,18-25,west,travel,online,reliance digital,2,customer service was unhelpful.,negative,4,yes,yes
84,other,36-45,south,travel,online,zepto,1,very disappointed with the quality.,negative,18,yes,yes
85,female,18-25,south,home & kitchen,online,flipkart,1,late delivery and poor packaging.,negative,24,yes,yes
86,other,18-25,west,home & kitchen,online,reliance digital,5,very satisfied with the quality.,positive,29,yes,no
87,male,36-45,south,groceries,online,reliance digital,5,very satisfied with the quality.,positive,41,yes,no
88,male,36-45,south,fashion,online,jiomart,5,great value for money.,positive,7,yes,no
89,other,26-35,east,sports,online,ajio,3,average experience overall.,neutral,47,yes,no
90,other,36-45,north,beauty,online,facebook marketplace,1,not worth the price.,negative,19,yes,yes
91,female,36-45,central,beauty,online,croma,4,"amazing experience, highly recommend!",positive,58,no,no
92,other,46-60,central,beauty,online,lenskart,3,average experience overall.,neutral,57,no,no
93,other,36-45,west,books,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,43,yes,no
94,female,60+,north,fashion,online,bigbasket,3,"delivery was fine, product is decent.",neutral,42,yes,no
95,other,26-35,east,automobile,online,boat,2,customer service was unhelpful.,negative,27,yes,yes
96,male,18-25,south,sports,online,boat,4,fast delivery and great packaging.,positive,3,yes,no
97,male,36-45,north,books,online,amazon,5,fast delivery and great packaging.,positive,43,yes,no
98,other,18-25,central,sports,online,flipkart,2,very disappointed with the quality.,negative,1,yes,yes
99,female,46-60,east,automobile,online,reliance digital,2,product stopped working after few days.,negative,61,no,yes
100,male,26-35,west,sports,online,paytm mall,1,product stopped working after few days.,negative,28,yes,yes
101,other,26-35,west,automobile,online,bigbasket,4,"amazing experience, highly recommend!",positive,39,yes,no
102,male,36-45,south,groceries,online,meesho,1,customer service was unhelpful.,negative,3,yes,yes
103,other,18-25,south,travel,online,facebook marketplace,4,fast delivery and great packaging.,positive,24,yes,no
104,male,26-35,central,home & kitchen,online,reliance digital,4,very satisfied with the quality.,positive,22,yes,no
105,other,60+,central,automobile,online,flipkart,2,product stopped working after few days.,negative,40,yes,yes
106,other,46-60,east,home & kitchen,online,jiomart,3,works fine but could be better.,neutral,17,yes,no
107,other,36-45,east,books,online,croma,2,late delivery and poor packaging.,negative,19,yes,yes
108,female,36-45,north,books,online,reliance digital,4,excellent product! exceeded expectations.,positive,35,yes,no
109,female,36-45,south,fashion,online,bigbasket,1,late delivery and poor packaging.,negative,41,yes,yes
110,other,60+,north,sports,online,tata cliq,3,"product is okay, nothing special.",neutral,40,yes,no
111,male,60+,central,beauty,online,flipkart,3,"product is okay, nothing special.",neutral,24,yes,no
112,other,36-45,central,groceries,online,myntra,4,"amazing experience, highly recommend!",positive,49,no,no
113,female,60+,north,home & kitchen,online,lenskart,5,"amazing experience, highly recommend!",positive,10,yes,no
114,female,18-25,south,sports,online,facebook marketplace,4,very satisfied with the quality.,positive,31,yes,no
115,female,26-35,south,books,online,tata cliq,2,late delivery and poor packaging.,negative,70,no,yes
116,female,26-35,central,groceries,online,amazon,2,not worth the price.,negative,43,yes,yes
117,male,46-60,east,groceries,online,meesho,3,"product is okay, nothing special.",neutral,11,yes,no
118,male,46-60,north,books,online,jiomart,4,great value for money.,positive,44,yes,no
119,male,36-45,east,automobile,online,meesho,2,product stopped working after few days.,negative,58,no,yes
120,male,26-35,north,automobile,online,amazon,2,late delivery and poor packaging.,negative,24,yes,yes
121,female,36-45,west,sports,online,croma,4,fast delivery and great packaging.,positive,14,yes,no
122,other,26-35,central,electronics,online,swiggy instamart,1,not worth the price.,negative,21,yes,yes
123,female,36-45,north,fashion,online,myntra,5,great value for money.,positive,54,no,no
124,female,26-35,central,electronics,online,boat,5,very satisfied with the quality.,positive,48,no,no
125,other,60+,west,home & kitchen,online,bigbasket,1,very disappointed with the quality.,negative,47,yes,yes
126,female,46-60,north,electronics,online,zepto,4,fast delivery and great packaging.,positive,17,yes,no
127,male,18-25,south,beauty,online,ajio,3,neutral about the quality.,neutral,5,yes,no
128,other,60+,north,electronics,online,facebook marketplace,4,very satisfied with the quality.,positive,5,yes,no
129,female,46-60,central,travel,online,myntra,4,great value for money.,positive,36,yes,no
130,female,26-35,west,beauty,online,jiomart,2,very disappointed with the quality.,negative,4,yes,yes
131,female,36-45,south,electronics,online,lenskart,5,very satisfied with the quality.,positive,67,no,no
132,female,18-25,east,fashion,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,24,yes,no
133,male,18-25,south,fashion,online,nykaa,4,fast delivery and great packaging.,positive,39,yes,no
134,female,36-45,east,automobile,online,croma,2,customer service was unhelpful.,negative,70,no,yes
135,other,46-60,west,automobile,online,shopclues,2,product stopped working after few days.,negative,36,yes,yes
136,male,26-35,north,beauty,online,others,2,product stopped working after few days.,negative,36,yes,yes
137,female,26-35,west,automobile,online,shopclues,2,late delivery and poor packaging.,negative,6,yes,yes
138,male,60+,central,electronics,online,myntra,2,very disappointed with the quality.,negative,23,yes,yes
139,female,60+,central,home & kitchen,online,lenskart,4,great value for money.,positive,6,yes,no
140,female,36-45,north,electronics,online,meesho,4,great value for money.,positive,48,no,no
141,other,18-25,east,groceries,online,reliance digital,2,customer service was unhelpful.,negative,34,yes,yes
142,male,46-60,south,electronics,online,others,2,product stopped working after few days.,negative,11,yes,yes
143,male,46-60,west,books,online,lenskart,4,"amazing experience, highly recommend!",positive,71,no,no
144,female,60+,south,beauty,online,ajio,1,late delivery and poor packaging.,negative,62,no,yes
145,other,60+,south,automobile,online,zepto,3,"product is okay, nothing special.",neutral,4,yes,no
146,other,46-60,north,sports,online,amazon,2,late delivery and poor packaging.,negative,71,no,yes
147,male,18-25,east,electronics,online,myntra,3,"delivery was fine, product is decent.",neutral,47,yes,no
148,male,26-35,east,groceries,online,boat,3,neutral about the quality.,neutral,45,yes,no
149,other,46-60,east,electronics,online,zepto,1,very disappointed with the quality.,negative,63,no,yes
150,male,46-60,south,electronics,online,others,2,late delivery and poor packaging.,negative,9,yes,yes
151,other,36-45,west,travel,online,swiggy instamart,3,neutral about the quality.,neutral,66,no,no
152,male,36-45,west,travel,online,jiomart,4,great value for money.,positive,66,no,no
153,other,46-60,north,fashion,online,amazon,5,fast delivery and great packaging.,positive,52,no,no
154,male,36-45,south,groceries,online,flipkart,1,customer service was unhelpful.,negative,8,yes,yes
155,female,18-25,west,home & kitchen,online,swiggy instamart,4,"amazing experience, highly recommend!",positive,39,yes,no
156,female,60+,north,groceries,online,boat,4,"amazing experience, highly recommend!",positive,10,yes,no
157,male,26-35,south,sports,online,facebook marketplace,1,product stopped working after few days.,negative,21,yes,yes
158,female,26-35,central,groceries,online,tata cliq,2,very disappointed with the quality.,negative,51,no,yes
159,female,18-25,east,books,online,zepto,1,product stopped working after few days.,negative,28,yes,yes
160,other,36-45,east,electronics,online,bigbasket,1,late delivery and poor packaging.,negative,52,no,yes
161,other,60+,west,sports,online,croma,2,not worth the price.,negative,34,yes,yes
162,female,18-25,south,automobile,online,facebook marketplace,2,customer service was unhelpful.,negative,17,yes,yes
163,female,26-35,central,beauty,online,bigbasket,4,great value for money.,positive,29,yes,no
164,female,18-25,north,sports,online,flipkart,1,product stopped working after few days.,negative,49,no,yes
165,female,18-25,east,sports,online,meesho,1,very disappointed with the quality.,negative,58,no,yes
166,other,46-60,east,fashion,online,shopclues,5,fast delivery and great packaging.,positive,66,no,no
167,male,26-35,south,books,online,facebook marketplace,3,"delivery was fine, product is decent.",neutral,66,no,no
168,male,46-60,west,home & kitchen,online,amazon,2,very disappointed with the quality.,negative,60,no,yes
169,female,36-45,north,fashion,online,others,5,"amazing experience, highly recommend!",positive,27,yes,no
170,male,46-60,west,beauty,online,tata cliq,5,fast delivery and great packaging.,positive,19,yes,no
171,male,18-25,west,sports,online,bigbasket,1,customer service was unhelpful.,negative,34,yes,yes
172,male,26-35,west,groceries,online,shopclues,2,very disappointed with the quality.,negative,25,yes,yes
173,other,36-45,south,electronics,online,jiomart,3,"product is okay, nothing special.",neutral,51,no,no
174,other,18-25,north,travel,online,paytm mall,1,customer service was unhelpful.,negative,70,no,yes
175,other,36-45,east,books,online,shopclues,4,fast delivery and great packaging.,positive,69,no,no
176,female,36-45,central,beauty,online,tata cliq,1,late delivery and poor packaging.,negative,33,yes,yes
177,other,36-45,west,groceries,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,33,yes,no
178,male,36-45,south,books,online,bigbasket,2,not worth the price.,negative,61,no,yes
179,other,46-60,east,groceries,online,nykaa,3,neutral about the quality.,neutral,48,no,no
180,female,46-60,south,fashion,online,reliance digital,5,very satisfied with the quality.,positive,3,yes,no
181,other,18-25,west,home & kitchen,online,lenskart,3,neutral about the quality.,neutral,16,yes,no
182,male,46-60,east,sports,online,jiomart,3,"delivery was fine, product is decent.",neutral,3,yes,no
183,female,60+,east,automobile,online,bigbasket,5,great value for money.,positive,5,yes,no
184,other,60+,north,home & kitchen,online,reliance digital,4,"amazing experience, highly recommend!",positive,12,yes,no
185,female,26-35,west,fashion,online,facebook marketplace,3,neutral about the quality.,neutral,33,yes,no
186,female,46-60,east,travel,online,croma,3,"product is okay, nothing special.",neutral,20,yes,no
187,male,60+,north,electronics,online,ajio,4,"amazing experience, highly recommend!",positive,43,yes,no
188,female,26-35,north,beauty,online,reliance digital,2,customer service was unhelpful.,negative,63,no,yes
189,male,60+,west,fashion,online,flipkart,1,very disappointed with the quality.,negative,7,yes,yes
190,male,46-60,west,sports,online,croma,4,excellent product! exceeded expectations.,positive,11,yes,no
191,other,46-60,east,groceries,online,others,4,"amazing experience, highly recommend!",positive,42,yes,no
192,female,46-60,west,electronics,online,myntra,3,average experience overall.,neutral,59,no,no
193,female,46-60,west,fashion,online,nykaa,2,not worth the price.,negative,46,yes,yes
194,female,60+,west,beauty,online,nykaa,1,customer service was unhelpful.,negative,50,no,yes
195,other,60+,south,fashion,online,swiggy instamart,1,customer service was unhelpful.,negative,66,no,yes
196,male,36-45,east,sports,online,zepto,3,"product is okay, nothing special.",neutral,34,yes,no
197,female,36-45,central,books,online,jiomart,1,very disappointed with the quality.,negative,21,yes,yes
198,male,46-60,south,home & kitchen,online,reliance digital,4,very satisfied with the quality.,positive,38,yes,no
199,female,60+,west,travel,online,croma,1,product stopped working after few days.,negative,59,no,yes
200,other,26-35,central,automobile,online,shopclues,2,product stopped working after few days.,negative,42,yes,yes
201,female,26-35,east,electronics,online,flipkart,5,"amazing experience, highly recommend!",positive,69,no,no
202,other,46-60,east,beauty,online,paytm mall,2,not worth the price.,negative,22,yes,yes
203,female,60+,north,beauty,online,lenskart,3,average experience overall.,neutral,47,yes,no
204,other,60+,east,sports,online,nykaa,4,excellent product! exceeded expectations.,positive,57,no,no
205,female,18-25,north,beauty,online,snapdeal,1,late delivery and poor packaging.,negative,36,yes,yes
206,male,60+,north,groceries,online,croma,2,customer service was unhelpful.,negative,12,yes,yes
207,other,46-60,east,sports,online,ajio,3,average experience overall.,neutral,66,no,no
208,other,18-25,south,automobile,online,facebook marketplace,2,product stopped working after few days.,negative,12,yes,yes
209,male,18-25,south,books,online,croma,5,excellent product! exceeded expectations.,positive,38,yes,no
210,other,26-35,south,electronics,online,amazon,4,"amazing experience, highly recommend!",positive,44,yes,no
211,male,60+,east,fashion,online,swiggy instamart,1,customer service was unhelpful.,negative,15,yes,yes
212,other,46-60,west,beauty,online,swiggy instamart,5,excellent product! exceeded expectations.,positive,23,yes,no
213,other,36-45,east,groceries,online,paytm mall,2,not worth the price.,negative,45,yes,yes
214,female,46-60,central,travel,online,ajio,1,very disappointed with the quality.,negative,1,yes,yes
215,other,36-45,east,sports,online,bigbasket,4,"amazing experience, highly recommend!",positive,55,no,no
216,male,60+,central,home & kitchen,online,reliance digital,2,not worth the price.,negative,46,yes,yes
217,male,18-25,central,books,online,ajio,1,very disappointed with the quality.,negative,54,no,yes
218,male,26-35,east,books,online,nykaa,1,not worth the price.,negative,58,no,yes
219,female,26-35,west,electronics,online,flipkart,4,fast delivery and great packaging.,positive,57,no,no
220,other,60+,east,books,online,meesho,3,"product is okay, nothing special.",neutral,48,no,no
221,male,36-45,central,groceries,online,boat,3,"delivery was fine, product is decent.",neutral,32,yes,no
222,female,46-60,west,home & kitchen,online,amazon,2,not worth the price.,negative,34,yes,yes
223,other,60+,south,fashion,online,swiggy instamart,2,late delivery and poor packaging.,negative,51,no,yes
224,male,18-25,south,electronics,online,zepto,5,"amazing experience, highly recommend!",positive,50,no,no
225,other,60+,central,electronics,online,lenskart,3,neutral about the quality.,neutral,7,yes,no
226,male,18-25,east,automobile,online,boat,5,excellent product! exceeded expectations.,positive,32,yes,no
227,other,46-60,west,travel,online,bigbasket,3,"delivery was fine, product is decent.",neutral,54,no,no
228,female,46-60,west,travel,online,lenskart,1,late delivery and poor packaging.,negative,46,yes,yes
229,female,60+,north,beauty,online,bigbasket,3,"product is okay, nothing special.",neutral,4,yes,no
230,male,18-25,south,home & kitchen,online,flipkart,5,great value for money.,positive,30,yes,no
231,female,60+,central,books,online,tata cliq,1,very disappointed with the quality.,negative,59,no,yes
232,other,46-60,south,travel,online,amazon,2,late delivery and poor packaging.,negative,52,no,yes
233,male,18-25,central,groceries,online,shopclues,3,"delivery was fine, product is decent.",neutral,8,yes,no
234,other,36-45,south,fashion,online,shopclues,2,late delivery and poor packaging.,negative,68,no,yes
235,female,60+,central,books,online,nykaa,4,"amazing experience, highly recommend!",positive,15,yes,no
236,other,36-45,east,groceries,online,swiggy instamart,5,great value for money.,positive,53,no,no
237,female,26-35,north,beauty,online,paytm mall,4,excellent product! exceeded expectations.,positive,61,no,no
238,female,26-35,south,books,online,ajio,2,late delivery and poor packaging.,negative,43,yes,yes
239,male,36-45,central,fashion,online,reliance digital,5,excellent product! exceeded expectations.,positive,7,yes,no
240,female,60+,south,home & kitchen,online,croma,1,not worth the price.,negative,11,yes,yes
241,male,46-60,south,fashion,online,paytm mall,4,very satisfied with the quality.,positive,14,yes,no
242,female,46-60,north,automobile,online,snapdeal,1,product stopped working after few days.,negative,7,yes,yes
243,male,46-60,west,fashion,online,bigbasket,1,customer service was unhelpful.,negative,2,yes,yes
244,female,46-60,central,fashion,online,facebook marketplace,2,product stopped working after few days.,negative,2,yes,yes
245,female,36-45,central,home & kitchen,online,amazon,1,not worth the price.,negative,34,yes,yes
246,male,46-60,central,groceries,online,boat,5,fast delivery and great packaging.,positive,36,yes,no
247,other,26-35,central,automobile,online,flipkart,4,"amazing experience, highly recommend!",positive,26,yes,no
248,female,36-45,central,travel,online,nykaa,1,customer service was unhelpful.,negative,20,yes,yes
249,other,26-35,east,sports,online,boat,4,great value for money.,positive,11,yes,no
250,male,60+,central,home & kitchen,online,snapdeal,1,customer service was unhelpful.,negative,13,yes,yes
251,male,46-60,west,sports,online,paytm mall,4,very satisfied with the quality.,positive,33,yes,no
252,female,36-45,north,automobile,online,others,5,"amazing experience, highly recommend!",positive,19,yes,no
253,male,36-45,north,electronics,online,amazon,1,not worth the price.,negative,38,yes,yes
254,male,36-45,north,travel,online,nykaa,3,neutral about the quality.,neutral,69,no,no
255,female,46-60,south,beauty,online,bigbasket,4,"amazing experience, highly recommend!",positive,70,no,no
256,male,26-35,east,books,online,ajio,5,very satisfied with the quality.,positive,16,yes,no
257,other,60+,west,electronics,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,33,yes,no
258,male,26-35,east,travel,online,paytm mall,2,late delivery and poor packaging.,negative,38,yes,yes
259,male,18-25,south,travel,online,nykaa,1,late delivery and poor packaging.,negative,21,yes,yes
260,female,46-60,west,travel,online,meesho,3,neutral about the quality.,neutral,70,no,no
261,other,46-60,central,beauty,online,reliance digital,3,"delivery was fine, product is decent.",neutral,15,yes,no
262,male,26-35,south,fashion,online,amazon,5,very satisfied with the quality.,positive,10,yes,no
263,male,46-60,south,beauty,online,lenskart,3,"product is okay, nothing special.",neutral,10,yes,no
264,other,46-60,central,sports,online,boat,5,"amazing experience, highly recommend!",positive,18,yes,no
265,other,46-60,central,beauty,online,flipkart,3,"product is okay, nothing special.",neutral,1,yes,no
266,female,60+,south,groceries,online,flipkart,1,very disappointed with the quality.,negative,42,yes,yes
267,female,60+,east,groceries,online,swiggy instamart,1,customer service was unhelpful.,negative,67,no,yes
268,female,36-45,east,automobile,online,nykaa,4,very satisfied with the quality.,positive,52,no,no
269,female,26-35,west,sports,online,flipkart,1,not worth the price.,negative,54,no,yes
270,female,18-25,central,automobile,online,lenskart,3,neutral about the quality.,neutral,61,no,no
271,male,36-45,north,electronics,online,reliance digital,4,excellent product! exceeded expectations.,positive,41,yes,no
272,male,46-60,east,home & kitchen,online,swiggy instamart,1,product stopped working after few days.,negative,47,yes,yes
273,male,46-60,south,books,online,croma,1,not worth the price.,negative,56,no,yes
274,other,18-25,west,books,online,facebook marketplace,1,customer service was unhelpful.,negative,2,yes,yes
275,female,46-60,east,automobile,online,nykaa,2,customer service was unhelpful.,negative,21,yes,yes
276,female,46-60,west,groceries,online,paytm mall,3,"product is okay, nothing special.",neutral,16,yes,no
277,female,46-60,central,groceries,online,meesho,3,neutral about the quality.,neutral,42,yes,no
278,other,36-45,west,sports,online,snapdeal,1,not worth the price.,negative,39,yes,yes
279,male,18-25,central,automobile,online,lenskart,3,neutral about the quality.,neutral,13,yes,no
280,male,36-45,central,groceries,online,others,5,great value for money.,positive,9,yes,no
281,male,46-60,west,travel,online,croma,2,very disappointed with the quality.,negative,60,no,yes
282,female,36-45,south,groceries,online,reliance digital,2,not worth the price.,negative,10,yes,yes
283,other,36-45,south,home & kitchen,online,shopclues,1,late delivery and poor packaging.,negative,58,no,yes
284,female,36-45,south,automobile,online,jiomart,3,"delivery was fine, product is decent.",neutral,58,no,no
285,female,36-45,west,books,online,flipkart,1,late delivery and poor packaging.,negative,59,no,yes
286,other,26-35,central,beauty,online,boat,4,excellent product! exceeded expectations.,positive,54,no,no
287,male,46-60,south,travel,online,amazon,3,works fine but could be better.,neutral,57,no,no
288,female,26-35,east,books,online,flipkart,3,works fine but could be better.,neutral,15,yes,no
289,female,36-45,east,fashion,online,nykaa,1,product stopped working after few days.,negative,25,yes,yes
290,female,36-45,west,books,online,croma,2,customer service was unhelpful.,negative,36,yes,yes
291,other,46-60,central,books,online,shopclues,3,works fine but could be better.,neutral,63,no,no
292,male,60+,east,books,online,paytm mall,4,excellent product! exceeded expectations.,positive,70,no,no
293,other,46-60,south,beauty,online,zepto,5,"amazing experience, highly recommend!",positive,27,yes,no
294,male,18-25,south,automobile,online,ajio,1,product stopped working after few days.,negative,42,yes,yes
295,female,46-60,east,automobile,online,tata cliq,5,great value for money.,positive,68,no,no
296,female,26-35,east,travel,online,meesho,3,average experience overall.,neutral,52,no,no
297,other,18-25,north,home & kitchen,online,croma,3,"delivery was fine, product is decent.",neutral,35,yes,no
298,female,18-25,central,fashion,online,meesho,5,great value for money.,positive,47,yes,no
299,male,60+,central,automobile,online,zepto,2,very disappointed with the quality.,negative,65,no,yes
300,male,36-45,south,sports,online,tata cliq,4,"amazing experience, highly recommend!",positive,30,yes,no
301,female,26-35,central,travel,online,flipkart,3,"product is okay, nothing special.",neutral,48,no,no
302,other,18-25,south,electronics,online,lenskart,2,late delivery and poor packaging.,negative,59,no,yes
303,male,46-60,east,electronics,online,bigbasket,2,product stopped working after few days.,negative,33,yes,yes
304,other,46-60,north,beauty,online,bigbasket,5,great value for money.,positive,6,yes,no
305,female,26-35,west,sports,online,shopclues,4,great value for money.,positive,7,yes,no
306,male,18-25,east,books,online,snapdeal,5,great value for money.,positive,44,yes,no
307,male,26-35,south,automobile,online,others,4,great value for money.,positive,3,yes,no
308,female,46-60,south,automobile,online,zepto,2,very disappointed with the quality.,negative,30,yes,yes
309,male,18-25,central,groceries,online,croma,5,great value for money.,positive,2,yes,no
310,male,26-35,west,sports,online,others,5,fast delivery and great packaging.,positive,63,no,no
311,female,18-25,north,fashion,online,paytm mall,4,fast delivery and great packaging.,positive,59,no,no
312,other,36-45,north,automobile,online,amazon,3,works fine but could be better.,neutral,44,yes,no
313,male,18-25,north,fashion,online,shopclues,3,"product is okay, nothing special.",neutral,63,no,no
314,male,18-25,south,fashion,online,myntra,5,fast delivery and great packaging.,positive,20,yes,no
315,male,18-25,west,fashion,online,swiggy instamart,2,late delivery and poor packaging.,negative,67,no,yes
316,female,46-60,north,travel,online,myntra,3,average experience overall.,neutral,55,no,no
